id,title,year,rating,votes
#1,The Shawshank Redemption,1994,9.3,3100000
#2,The Godfather,1972,9.2,2200000
#3,The Dark Knight,2008,9.1,3100000
#4,The Godfather Part II,1974,9.0,1500000
#5,12 Angry Men,1957,9.0,960000
#6,The Lord of the Rings: The Return of the King,2003,9.0,2100000
#7,Schindler's List,1993,9.0,1600000
#8,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2200000
#9,Pulp Fiction,1994,8.8,2400000
#10,"The Good, the Bad and the Ugly",1966,8.8,877000
#11,The Lord of the Rings: The Two Towers,2002,8.8,1900000
#12,Forrest Gump,1994,8.8,2400000
#13,Fight Club,1999,8.8,2500000
#14,Inception,2010,8.8,2800000
#15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1500000
#16,The Matrix,1999,8.7,2200000
#17,Goodfellas,1990,8.7,1400000
#18,Interstellar,2014,8.7,2400000
#19,One Flew Over the Cuckoo's Nest,1975,8.7,1100000
#20,Se7en,1995,8.6,2000000
#21,It's a Wonderful Life,1946,8.6,541000
#22,The Silence of the Lambs,1991,8.6,1700000
#23,Seven Samurai,1954,8.6,396000
#24,Saving Private Ryan,1998,8.6,1600000
#25,The Green Mile,1999,8.6,1500000
#26,City of God,2002,8.6,858000
#27,Life Is Beautiful,1997,8.6,799000
#28,Terminator 2: Judgment Day,1991,8.6,1300000
#29,Star Wars: Episode IV - A New Hope,1977,8.6,1500000
#30,Back to the Future,1985,8.5,1400000
#31,Spirited Away,2001,8.6,943000
#32,The Pianist,2002,8.5,994000
#33,Gladiator,2000,8.5,1800000
#34,Parasite,2019,8.5,1100000
#35,Psycho,1960,8.5,774000
#36,Grave of the Fireflies,1988,8.5,371000
#37,The Lion King,1994,8.5,1200000
#38,Harakiri,1962,8.6,88000
#39,The Departed,2006,8.5,1500000
#40,Whiplash,2014,8.5,1100000
#41,The Prestige,2006,8.5,1600000
#42,American History X,1998,8.5,1300000
#43,Léon: The Professional,1994,8.5,1300000
#44,Spider-Man: Across the Spider-Verse,2023,8.5,494000
#45,Cinema Paradiso,1988,8.5,312000
#46,Casablanca,1942,8.5,647000
#47,The Intouchables,2011,8.5,1000000
#48,The Usual Suspects,1995,8.5,1200000
#49,Alien,1979,8.5,1000000
#50,Modern Times,1936,8.5,282000
#51,Rear Window,1954,8.5,561000
#52,Django Unchained,2012,8.5,1800000
#53,Once Upon a Time in the West,1968,8.5,379000
#54,City Lights,1931,8.5,214000
#55,Apocalypse Now,1979,8.4,759000
#56,WALL·E,2008,8.4,1300000
#57,Memento,2000,8.4,1400000
#58,Dune: Part Two,2024,8.4,684000
#59,Raiders of the Lost Ark,1981,8.4,1100000
#60,Avengers: Infinity War,2018,8.4,1300000
#61,The Lives of Others,2006,8.4,438000
#62,Spider-Man: Into the Spider-Verse,2018,8.4,763000
#63,Sunset Boulevard,1950,8.4,257000
#64,Witness for the Prosecution,1957,8.4,158000
#65,Paths of Glory,1957,8.4,235000
#66,The Shining,1980,8.4,1200000
#67,The Great Dictator,1940,8.4,256000
#68,Inglourious Basterds,2009,8.4,1700000
#69,Aliens,1986,8.4,829000
#70,12th Fail,2023,8.7,163000
#71,High and Low,1963,8.4,69000
#72,The Dark Knight Rises,2012,8.4,2000000
#73,Coco,2017,8.4,683000
#74,Avengers: Endgame,2019,8.4,1400000
#75,Amadeus,1984,8.4,461000
#76,Good Will Hunting,1997,8.3,1200000
#77,Toy Story,1995,8.3,1100000
#78,Your Name.,2016,8.4,376000
#79,Oldboy,2003,8.3,701000
#80,Das Boot,1981,8.4,284000
#81,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,546000
#82,Braveheart,1995,8.3,1100000
#83,Princess Mononoke,1997,8.3,473000
#84,American Beauty,1999,8.3,1300000
#85,3 Idiots,2009,8.4,472000
#86,Capernaum,2018,8.4,121000
#87,Joker,2019,8.3,1700000
#88,Once Upon a Time in America,1984,8.3,403000
#89,Singin' in the Rain,1952,8.3,278000
#90,Come and See,1985,8.3,118000
#91,Requiem for a Dream,2000,8.3,958000
#92,Star Wars: Episode VI - Return of the Jedi,1983,8.3,1200000
#93,Toy Story 3,2010,8.3,952000
#94,The Hunt,2012,8.3,400000
#95,Ikiru,1952,8.3,100000
#96,Eternal Sunshine of the Spotless Mind,2004,8.3,1200000
#97,Incendies,2010,8.3,241000
#98,The Apartment,1960,8.3,214000
#99,Lawrence of Arabia,1962,8.3,336000
#100,2001: A Space Odyssey,1968,8.3,770000
#101,Reservoir Dogs,1992,8.3,1200000
#102,Scarface,1983,8.3,994000
#103,Heat,1995,8.3,782000
#104,Double Indemnity,1944,8.3,178000
#105,Up,2009,8.3,1200000
#106,North by Northwest,1959,8.3,366000
#107,M,1931,8.3,181000
#108,Full Metal Jacket,1987,8.2,838000
#109,Citizen Kane,1941,8.2,489000
#110,Like Stars on Earth,2007,8.3,227000
#111,Vertigo,1958,8.2,454000
#112,Amélie,2001,8.3,830000
#113,A Separation,2011,8.3,274000
#114,Die Hard,1988,8.2,1000000
#115,To Kill a Mockingbird,1962,8.3,348000
#116,Indiana Jones and the Last Crusade,1989,8.2,853000
#117,The Sting,1973,8.2,296000
#118,A Clockwork Orange,1971,8.2,926000
#119,Metropolis,1927,8.3,198000
#120,Snatch,2000,8.2,963000
#121,1917,2019,8.2,751000
#122,L.A. Confidential,1997,8.2,651000
#123,Oppenheimer,2023,8.3,960000
