id,title,year,rating,votes
#1,The Shawshank Redemption,1994,9.3,3100000
#2,The Godfather,1972,9.2,2200000
#3,The Dark Knight,2008,9.1,3100000
#4,The Godfather Part II,1974,9.0,1500000
#5,12 Angry Men,1957,9.0,960000
#6,The Lord of the Rings: The Return of the King,2003,9.0,2100000
#7,Schindler's List,1993,9.0,1600000
#8,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2200000
#9,Pulp Fiction,1994,8.8,2400000
#10,"Il buono, il brutto, il cattivo",1966,8.8,877000
#11,The Lord of the Rings: The Two Towers,2002,8.8,1900000
#12,Forrest Gump,1994,8.8,2400000
#13,Fight Club,1999,8.8,2500000
#14,Inception,2010,8.8,2800000
#15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1500000
#16,The Matrix,1999,8.7,2200000
#17,GoodFellas,1990,8.7,1400000
#18,Interstellar,2014,8.7,2400000
#19,One Flew Over the Cuckoo's Nest,1975,8.7,1100000
#20,Se7en,1995,8.6,2000000
#21,It's a Wonderful Life,1946,8.6,541000
#22,The Silence of the Lambs,1991,8.6,1700000
#23,Shichinin no samurai,1954,8.6,396000
#24,Saving Private Ryan,1998,8.6,1600000
#25,The Green Mile,1999,8.6,1500000
